Pore Index,Pore Area (µm²),Equivalent Diameter (µm)
1,1.1952048,1.2336052915812583
2,3.46609392,2.1007541133388545
3,1.27488512,1.2740620666900155
4,1.23504496,1.2539968431371178
5,9.20307696,3.4231157618043047
6,3.1872128,2.014469005580896
7,1.35456544,1.3132731186389164
8,1.6334465599999999,1.442140337971176
9,2.03184816,1.6084245167894506
10,1.67328672,1.459621465169718
11,4.70113888,2.4465641065191757
12,1.75296704,1.4939701991490144
13,7.45010992,3.079898466308219
14,1.75296704,1.4939701991490144
15,5.8565035199999995,2.730701718523039
16,1.27488512,1.2740620666900155
17,4.86049952,2.487685710862664
18,52.03124896,8.139302411007488
19,9.32259744,3.445272082180854
20,1.87248752,1.5440612544478518
21,6.73298704,2.9279182627794365
22,2.5896103999999998,1.8158178231137183
23,26.57338672,5.816724749327943
24,6.5736264,2.8930608505171556
25,9.32259744,3.445272082180854
26,3.54577424,2.1247635113280885
27,1.75296704,1.4939701991490144
28,3.46609392,2.1007541133388545
29,1.95216784,1.57657137226585
30,6.49394608,2.8754736914870036
31,1.3944056,1.3324460031536594
32,1.35456544,1.3132731186389164
33,1.5936064,1.4244446943363724
34,3.5856144,2.136667041504559
35,1.7928072,1.5108517541856719
36,1.31472528,1.2938161449599435
37,1.51392608,1.3883769491250888
38,3.984016,2.252244817522643
39,3.66529472,2.160277338818559
40,1.1952048,1.2336052915812583
41,2.74897104,1.8708550546367153
42,1.31472528,1.2938161449599435
43,1.55376624,1.4065264377332072
44,1.71312688,1.476895693258251
45,5.09954048,2.548124133380031
46,11.27476528,3.788862231871597
47,2.11152848,1.639658976912739
48,15.1392608,4.390433410110999
49,7.5696304,3.104505236637466
50,12.7488512,4.028938011161792
51,1.35456544,1.3132731186389164
52,2.47008992,1.7734193427375589
53,2.47008992,1.7734193427375589
54,1.87248752,1.5440612544478518
55,2.31072928,1.7152585509110312
56,35.93582432,6.764237769097091
57,4.22305696,2.3188279628167887
58,6.25490512,2.8220546676757414
59,4.3824176,2.3621742928631164
60,5.09954048,2.548124133380031
61,4.46209792,2.383551871519585
62,2.43024976,1.7590594356118665
63,4.66129872,2.4361752523427778
64,15.17910096,4.396206500586554
65,3.3864136,2.0764671223857514
66,28.92395616,6.068535636634113
67,2.74897104,1.8708550546367153
68,6.93218784,2.9709149582948737
69,8.68515488,3.325399621904949
70,5.25890112,2.587632289919887
71,4.10353648,2.285778843107822
72,11.952048,3.9010024550329123
73,5.13938064,2.5580583782029507
74,1.95216784,1.57657137226585
75,21.553526559999998,5.238587819698324
76,1.67328672,1.459621465169718
77,4.30273728,2.3406014730197473
78,2.54977024,1.8017958540181145
79,40.51744272,7.182507244872491
80,4.1832168,2.307864175804218
81,4.62145856,2.425741905674802
82,1.992008,1.5925775833625193
83,3.14737264,2.0018389813532727
84,2.43024976,1.7590594356118665
85,2.15136864,1.6550551736274857
86,1.95216784,1.57657137226585
87,1.1952048,1.2336052915812583
88,4.30273728,2.3406014730197473
89,5.05970032,2.5381510065268293
90,1.31472528,1.2938161449599435
91,5.5776224,2.6648920063073187
92,2.90833168,1.9243188156285465
93,1.23504496,1.2539968431371178
94,1.23504496,1.2539968431371178
95,2.86849152,1.9110931000350229
96,2.35056944,1.729982070327316
97,7.68915088,3.1289184977961915
98,7.84851152,3.16117624225121
99,3.46609392,2.1007541133388545
100,71.07484544,9.512901967861735
101,1.55376624,1.4065264377332072
102,3.3864136,2.0764671223857514
103,1.55376624,1.4065264377332072
104,2.5896103999999998,1.8158178231137183
105,1.31472528,1.2938161449599435
106,2.74897104,1.8708550546367153
107,3.8644955199999997,2.218203894261273
108,1.6334465599999999,1.442140337971176
109,1.43424576,1.351346890513586
110,5.1792207999999995,2.56795419224621
111,5.81666336,2.7213977673916214
112,3.82465536,2.206740231503314
113,1.27488512,1.2740620666900155
114,1.91232768,1.560400982013165
115,6.01586416,2.767604766628895
116,1.51392608,1.3883769491250888
117,2.86849152,1.9110931000350229
118,4.74097904,2.4569090326034764
119,3.90433568,2.2296086167075266
120,1.7928072,1.5108517541856719
121,2.988012,1.9505012275164562
122,2.7888112,1.8843632087897288
123,2.31072928,1.7152585509110312
124,1.7928072,1.5108517541856719
125,2.66929072,1.8435418360044327
126,1.75296704,1.4939701991490144
127,1.35456544,1.3132731186389164
128,4.98002,2.5180862569761198
129,16.21494512,4.543732974382897
130,1.87248752,1.5440612544478518
131,2.43024976,1.7590594356118665
132,2.15136864,1.6550551736274857
133,29.24267744,6.101879490004929
134,5.29874128,2.5974154336602786
135,1.5936064,1.4244446943363724
136,1.67328672,1.459621465169718
137,6.13538464,2.794962315633023
138,6.25490512,2.8220546676757414
139,1.27488512,1.2740620666900155
140,6.81266736,2.945192266708322
141,2.03184816,1.6084245167894506
142,15.37830176,4.424958975143426
143,2.07168832,1.624116834895185
144,4.98002,2.5180862569761198
145,1.55376624,1.4065264377332072
146,1.35456544,1.3132731186389164
147,1.1952048,1.2336052915812583
148,4.34257744,2.3514126228041703
149,80.63648384,10.132598875583987
150,1.7928072,1.5108517541856719
151,8.64531472,3.3177637918008873
152,5.49794208,2.6457885915015003
153,2.3904096,1.744581333969432
154,1.55376624,1.4065264377332072
155,4.06369632,2.274655765697033
156,3.42625376,2.088645919616233
157,2.23104896,1.685425691661385
158,1.31472528,1.2938161449599435
159,2.5896103999999998,1.8158178231137183
160,1.35456544,1.3132731186389164
161,11.31460544,3.79555043166121
162,2.03184816,1.6084245167894506
163,4.30273728,2.3406014730197473
164,1.31472528,1.2938161449599435
165,4.5019380799999995,2.394169081624164
166,1.1952048,1.2336052915812583
167,5.01986016,2.5281385374920773
168,1.5936064,1.4244446943363724
169,1.71312688,1.476895693258251
170,8.68515488,3.325399621904949
171,1.31472528,1.2938161449599435
172,2.43024976,1.7590594356118665
173,1.51392608,1.3883769491250888
174,1.51392608,1.3883769491250888
175,2.43024976,1.7590594356118665
176,1.87248752,1.5440612544478518
177,8.5656344,3.302439165802127
178,2.54977024,1.8017958540181145
179,6.73298704,2.9279182627794365
180,3.10753248,1.9891287640786182
181,3.42625376,2.088645919616233
182,5.976024,2.7584252893791428
183,1.3944056,1.3324460031536594
184,6.85250752,2.953791386516502
185,1.23504496,1.2539968431371178
186,4.86049952,2.487685710862664
187,1.5936064,1.4244446943363724
188,1.71312688,1.476895693258251
189,2.70913088,1.8572486554791663
190,2.15136864,1.6550551736274857
191,3.62545456,2.1485046226230047
192,27.33034976,5.898989920814848
193,3.22705296,2.027020335770379
194,1.5936064,1.4244446943363724
195,7.68915088,3.1289184977961915
196,1.91232768,1.560400982013165
197,102.74777264,11.437767581949966
198,1.43424576,1.351346890513586
199,1.7928072,1.5108517541856719
200,3.14737264,2.0018389813532727
201,1.55376624,1.4065264377332072
202,1.3944056,1.3324460031536594
203,1.5936064,1.4244446943363724
204,1.51392608,1.3883769491250888
205,5.7768232,2.71206189847937
206,6.29474528,2.831027837116939
207,3.90433568,2.2296086167075266
208,3.70513488,2.1719862448444673
209,2.43024976,1.7590594356118665
210,26.93194816,5.855836525558873
211,2.03184816,1.6084245167894506
212,1.87248752,1.5440612544478518
213,1.23504496,1.2539968431371178
214,5.3784216,2.6168720009541477
215,2.94817184,1.9374542501340841
216,14.26277728,4.261447177972082
217,2.03184816,1.6084245167894506
218,1.5936064,1.4244446943363724
219,1.6334465599999999,1.442140337971176
220,3.34657344,2.064216471973903
221,2.11152848,1.639658976912739
222,6.73298704,2.9279182627794365
223,2.66929072,1.8435418360044327
224,1.87248752,1.5440612544478518
225,2.54977024,1.8017958540181145
226,1.47408592,1.3699870385085084
227,1.3944056,1.3324460031536594
228,1.1952048,1.2336052915812583
229,3.30673328,2.0518926814012013
230,1.43424576,1.351346890513586
231,7.45010992,3.079898466308219
